
Image Name                     PID Session Name        Session#    Mem Usage
taskhostw.exe                15408 Console                    3     19,884 K
explorer.exe                 19200 Console                    3    257,612 K
VoiceControl_Engine.exe       3908 Console                    3      7,776 K
LEDKeeper2.exe               24228 Console                    3     23,044 K
svchost.exe                  20616 Console                    3     30,008 K
Widgets.exe                  11344 Console                    3     50,956 K
StartMenuExperienceHost.e    14776 Console                    3    106,712 K
RuntimeBroker.exe            17288 Console                    3     28,008 K
RuntimeBroker.exe            17824 Console                    3     56,596 K
svchost.exe                  23796 Console                    3     15,892 K
dllhost.exe                  28376 Console                    3     15,764 K
ShellExperienceHost.exe       4672 Console                    3     55,840 K
NVIDIA Web Helper.exe        16140 Console                    3     24,628 K
conhost.exe                   5984 Console                    3      1,072 K
TextInputHost.exe            14984 Console                    3     92,992 K
SecurityHealthSystray.exe    17476 Console                    3      9,140 K
nvsphelper64.exe             21820 Console                    3     12,740 K
NVIDIA Share.exe             16732 Console                    3     68,816 K
NVIDIA Share.exe              8072 Console                    3     47,508 K
NVIDIA Share.exe             14592 Console                    3     75,580 K
RtkAudUService64.exe         15972 Console                    3     13,176 K
LocationNotificationWindo    22728 Console                    3      1,848 K
OneDrive.exe                 28520 Console                    3     96,356 K
Discord.exe                  14512 Console                    3     80,032 K
Discord.exe                  17804 Console                    3     24,876 K
Discord.exe                  22580 Console                    3     96,440 K
Discord.exe                  20788 Console                    3     42,552 K
Discord.exe                  22660 Console                    3    285,220 K
Discord.exe                  23820 Console                    3     62,520 K
lghub_system_tray.exe        27980 Console                    3     48,956 K
lghub_agent.exe              24568 Console                    3     45,516 K
gameinputsvc.exe             18492 Console                    3     14,408 K
ctfmon.exe                   25380 Console                    3     23,156 K
MSI.TerminalServer.exe        6684 Console                    3      2,760 K
WidgetService.exe            27944 Console                    3     22,012 K
msedgewebview2.exe           13704 Console                    3      9,380 K
msedgewebview2.exe           23872 Console                    3      6,916 K
msedgewebview2.exe           13676 Console                    3      4,664 K
msedgewebview2.exe            8656 Console                    3      4,060 K
msedgewebview2.exe            2128 Console                    3         24 K
msedgewebview2.exe           24812 Console                    3        184 K
RuntimeBroker.exe            13624 Console                    3     25,360 K
msedgewebview2.exe           11932 Console                    3        152 K
msedgewebview2.exe           15704 Console                    3      1,792 K
Tabby.exe                    13116 Console                    3     91,544 K
Tabby.exe                     2284 Console                    3     25,780 K
Tabby.exe                     2612 Console                    3    107,112 K
Tabby.exe                    23660 Console                    3     42,236 K
Tabby.exe                     7412 Console                    3    150,424 K
conhost.exe                  29256 Console                    3      6,500 K
wsl.exe                       9024 Console                    3      9,596 K
wsl.exe                      23708 Console                    3      9,808 K
wslhost.exe                  14716 Console                    3      7,936 K
vmwp.exe                      8452 Services                   0     18,152 K
vmmemWSL                     28256 Services                   0  4,748,528 K
dllhost.exe                  23896 Console                    3      8,676 K
dllhost.exe                  24420 Console                    3      8,244 K
wslrelay.exe                 18532 Console                    3      6,488 K
wslhost.exe                  11220 Console                    3      9,380 K
conhost.exe                  24768 Console                    3      7,640 K
wslhost.exe                   1812 Console                    3      7,948 K
conhost.exe                   5424 Console                    3      7,644 K
wslhost.exe                  27764 Console                    3      7,864 K
conhost.exe                  29484 Console                    3      7,640 K
Code.exe                     25720 Console                    3     97,696 K
Code.exe                      3852 Console                    3     25,488 K
Code.exe                      1508 Console                    3    125,256 K
Code.exe                     18340 Console                    3     41,648 K
